,Salm,Allikas
0,"It is twenty years since I first determined to attempt the translation
of _Faust_, in the original metres. At that time, although more than a
score of English translations of the First Part, and three or four of
the Second Part, were in existence, the experiment had not yet been
made. The prose version of Hayward seemed to have been accepted as the
standard, in default of anything more satisfactory: the English critics,
generally sustaining the translator in his views concerning the
secondary importance of form in Poetry, practically discouraged any
further attempt; and no one, familiar with rhythmical expression through
the needs of his own nature, had devoted the necessary love and patience
to an adequate reproduction of the great work of Goethe's life.",Faust
1,"[B] ""You are right,"" said Goethe; ""there are great and mysterious
agencies included in the various forms of Poetry. If the substance of my
'Roman Elegies' were to be expressed in the tone and measure of Byron's
'Don Juan,' it would really have an atrocious effect.""--_Eckermann_.",Faust
2,"""The rhythm,"" said Goethe, ""is an unconscious result of the poetic mood.
If one should stop to consider it mechanically, when about to write a
poem, one would become bewildered and accomplish nothing of real
poetical value.""--_Ibid_.",Faust
3,"""_All that is poetic in character should be rythmically treated_! Such
is my conviction; and if even a sort of poetic prose should be gradually
introduced, it would only show that the distinction between prose and
poetry had been completely lost sight of.""--_Goethe to Schiller_, 1797.",Faust
4,"Tycho Mommsen, in his excellent essay, _Die Kunst des Deutschen
Uebersetzers aus neueren Sprachen_, goes so far as to say: ""The metrical
or rhymed modelling of a poetical work is so essentially the germ of its
being, that, rather than by giving it up, we might hope to construct a
similar work of art before the eyes of our countrymen, by giving up or
changing the substance. The immeasurable result which has followed works
wherein the form has been retained--such as the Homer of Voss, and the
Shakespeare of Tieck and Schlegel--is an incontrovertible evidence of
the vitality of the endeavor.""",Faust
5,"[C] ""Goethe's poems exercise a great sway over me, not only by their
meaning, but also by their rhythm. It is a language which stimulates me
to composition.""--_Beethoven_.",Faust
6,"[E] Mr. Lewes gives the following advice: ""The English reader would
perhaps best succeed who should first read Dr. Anster's brilliant
paraphrase, and then carefully go through Hayward's prose translation.""
This is singularly at variance with the view he has just expressed. Dr.
Anster's version is an almost incredible dilution of the original,
written in _other_ metres; while Hayward's entirely omits the element of
poetry.",Faust
7,"""Kommt, wie der Wind kommt, Wenn Wälder erzittern Kommt, wie die
Brandung Wenn Flotten zersplittern! Schnell heran, schnell herab,
Schneller kommt Al'e!--Häuptling und Bub' und Knapp, Herr und Vasalle!""",Faust
8,"""Es fällt der Strahl auf Burg und Thal, Und schneeige Gipfel, reich an
Sagen; Viel' Lichter wehn auf blauen Seen, Bergab die Wasserstürze
jagen! Blas, Hüfthorn, blas, in Wiederhall erschallend: Blas,
Horn--antwortet, Echos, hallend, hallend, hallend!""",Faust
9,"I have a more serious objection, however, to urge against Mr. Hayward's
prose translation. Where all the restraints of verse are flung aside, we
should expect, at least, as accurate a reproduction of the sense,
spirit, and tone of the original, as the genius of our language will
permit. So far from having given us such a reproduction, Mr. Hayward not
only occasionally mistakes the exact meaning of the German text,[H] but,
wherever two phrases may be used to express the meaning with equal
fidelity, he very frequently selects that which has the less grace,
strength, or beauty.[I]",Faust
10,"[H] On his second page, the line _Mein Lied ertönt der unbekannten
Menge_, ""My song sounds to the unknown multitude,"" is translated: ""My
_sorrow_ voices itself to the strange throng."" Other English
translators, I notice, have followed Mr. Hayward in mistaking _Lied_ for
_Leid_.",Faust
11,"I:
 I take but one out of numerous instances, for the sake of
illustration. The close of the Soldier's Song (Part I. Scene II.) is:--",Faust
12,"          ""Kühn is das Mühen,
          Herrlich der Lohn!
          Und die Soldaten
          Ziehen davon.""",Faust
13,"          Bold is the endeavor,
          Splendid the pay!
          And the soldiers
          March away.",Faust
14,"          Bold the adventure,
          Noble the reward--
          And the soldiers
          Are off.",Faust
15,"While, therefore, I heartily recognize his lofty appreciation of
_Faust_,--while I honor him for the patient and conscientious labor he
has bestowed upon his translation,--I cannot but feel that he has
himself illustrated the unsoundness of his argument. Nevertheless, the
circumstance that his prose translation of _Faust_ has received so much
acceptance proves those qualities of the original work which cannot be
destroyed by a test so violent. From the cold bare outline thus
produced, the reader unacquainted with the German language would
scarcely guess what glow of color, what richness of changeful life, what
fluent grace and energy of movement have been lost in the process. We
must, of course, gratefully receive such an outline, where a nearer
approach to the form of the original is impossible, but, until the
latter has been demonstrated, we are wrong to remain content with the
cheaper substitute.",Faust
16,"It seems to me that in all discussions upon this subject the capacities
of the English language have received but scanty justice. The
intellectual tendencies of our race have always been somewhat
conservative, and its standards of literary taste or belief, once set
up, are not varied without a struggle. The English ear is suspicious of
new metres and unaccustomed forms of expression: there are critical
detectives on the track of every author, and a violation of the accepted
canons is followed by a summons to judgment. Thus the tendency is to
contract rather than to expand the acknowledged excellences of the
language.[J]",Faust
17,"[K] ""At present, everything runs in technical grooves, and the critical
gentlemen begin to wrangle whether in a rhyme an _s_ should correspond
with an _s_ and not with _sz_. If I were young and reckless enough, I
would purposely offend all such technical caprices: I would use
alliteration, assonance, false rhyme, just according to my own will or
convenience--but, at the same time, I would attend to the main thing,
and endeavor to say so many good things that every one would be
attracted to read and remember them.""--_Goethe_, in 1831.",Faust
18,"_Erhabener Geist, im Geisterreich verloren!
Wo immer Deine lichte Wohnung sey,
Zum höh'ren Schaffen bist Du neugeboren,
Und singest dort die voll're Litanei.
Von jenem Streben das Du auserkoren,
Vom reinsten Aether, drin Du athmest frei,
O neige Dich zu gnädigem Erwiedern
Des letzten Wiederhalls von Deinen Liedern!",Faust
19,"Den alten Musen die bestäubten Kronen
Nahmst Du, zu neuem Glanz, mit kühner Hand:
Du löst die Räthsel ältester Aeonen
Durch jüngeren Glauben, helleren Verstand,
Und machst, wo rege Menschengeister wohnen,
Die ganze Erde Dir zum Vaterland;
Und Deine Jünger sehn in Dir, verwundert,
Verkörpert schon das werdende Jahrhundert.",Faust
20,"Was Du gesungen, Aller Lust und Klagen,
Des Lebens Wiedersprüche, neu vermählt,--
Die Harfe tausendstimmig frisch geschlagen,
Die Shakspeare einst, die einst Homer gewählt,--
Darf ich in fremde Klänge übertragen
Das Alles, wo so Mancher schon gefehlt?
Lass Deinen Geist in meiner Stimme klingen,
Und was Du sangst, lass mich es Dir nachsingen!_",Faust
21,"Again ye come, ye hovering Forms! I find ye,
As early to my clouded sight ye shone!
Shall I attempt, this once, to seize and bind ye?
Still o'er my heart is that illusion thrown?
Ye crowd more near! Then, be the reign assigned ye,
And sway me from your misty, shadowy zone!
My bosom thrills, with youthful passion shaken,
From magic airs that round your march awaken.",Faust
22,"Of joyous days ye bring the blissful vision;
The dear, familiar phantoms rise again,
And, like an old and half-extinct tradition,
First Love returns, with Friendship in his train.
Renewed is Pain: with mournful repetition
Life tracks his devious, labyrinthine chain,
And names the Good, whose cheating fortune tore them
From happy hours, and left me to deplore them.",Faust
23,"Dispersed the friendly troop, with all its pleasures,
And still, alas! the echoes first that rang!
I bring the unknown multitude my treasures;
Their very plaudits give my heart a pang,
And those beside, whose joy my Song so flattered,
If still they live, wide through the world are scattered.",Faust
24,"And grasps me now a long-unwonted yearning
For that serene and solemn Spirit-Land:
My song, to faint Aeolian murmurs turning,
Sways like a harp-string by the breezes fanned.
I thrill and tremble; tear on tear is burning,
And the stern heart is tenderly unmanned.
What I possess, I see far distant lying,
And what I lost, grows real and undying.",Faust
